TimeIndex,Mean,SEM,SmoothedMean,SmoothedSEM
97,34982.7160806496,6343.30929338389,35505.6392357996,5218.59816310438
98,34919.7343630935,6291.78983174308,35492.7417979906,5220.744383491
99,34972.5784543143,6234.5273647888,35480.3840940873,5222.50651504866
100,34661.0511111626,6113.10628830294,35469.4540709924,5224.49363213733
101,34876.5723249917,6263.34967819878,35457.8278285699,5226.99830974834
102,34557.9874651291,6251.56099762361,35446.1313252958,5229.44448364209
103,34748.7791705089,6332.27625177937,35434.5948325667,5231.95466786476
104,34740.1745076069,6299.46477463454,35423.5887265123,5234.28009009547
105,34989.0281332806,6158.12960971642,35413.6353706152,5237.07817855644
106,35164.5513791009,6206.08992418394,35405.2262329731,5239.13275869639
107,35593.8687469084,5913.67367133974,35403.2543582918,5240.13556849475
108,35579.7785836383,5937.61626585772,35401.9908860523,5241.14228154881
109,35533.4896565557,5974.26059107966,35400.4023906131,5243.00149556141
110,35467.8822850091,5956.03241902605,35400.18387736,5243.82383610597
111,35661.3204205719,5950.34649314351,35400.7306199086,5243.89855733906
112,35699.545341564,5959.10544289555,35403.2499754732,5244.34143401332
113,35680.4504081616,5946.82957798282,35404.9614840814,5245.21972257004
114,35255.7623909795,6016.73740181172,35404.8009420949,5244.46194983621
115,35262.7003471923,6009.10507635197,35405.7271847583,5243.20129332155
116,35215.5875647316,6040.32431429557,35407.9190703029,5241.52460608199
117,35165.8364649088,6116.1072411029,35409.9295914893,5240.44234695316
118,34888.2785698737,6190.52907763835,35412.6876855177,5239.66795551522
119,34906.9965925519,6185.57153339745,35415.7876186472,5239.08128047455
120,35244.0812987473,5941.72119275826,35419.625253343,5238.41278379841
121,35159.5646640048,5883.03889412887,35422.5547004263,5237.85456805395
122,35258.392437408,5872.72228164428,35425.6828885617,5237.28354936032
123,35262.4066510362,5873.35978251035,35428.0716639457,5237.37540679767
124,35481.1108577297,5924.35482170655,35430.1453329335,5237.79193379139
125,35558.4154739675,5938.10404227235,35432.6015206095,5238.16402226344
126,35609.6829968787,5942.72618587857,35435.4088807582,5238.23971998472
127,35658.1325205642,5908.5468896713,35436.8754164919,5238.42700149325
128,35679.01327059,5859.65940072251,35438.338480713,5238.35150227186
129,35717.9200290434,5889.98208091037,35440.0064742668,5238.06600619301
130,35761.7640090128,5827.84477564465,35441.3977613236,5237.78429271657
131,35748.4089552085,5773.47666460963,35442.962347759,5237.94818649718
132,35703.6650370357,5747.94906562056,35444.6077087095,5237.75459206076
133,35697.9223165351,5777.46114899363,35444.4908478217,5237.78758118636
134,35780.0834988565,5747.05715151949,35444.5259504033,5237.89903625665
135,35789.4488457168,5820.46629791648,35443.8979267604,5238.37981273788
136,35616.0209414975,5738.43583872138,35442.4214124577,5238.94740448421
137,36126.6127663533,6359.70145819045,35440.512659129,5239.87089698143
138,35551.9190918343,6506.09776223138,35437.9043755515,5241.29779176041
139,35718.4372663402,6187.83771243806,35435.4405677803,5242.71142141713
140,36143.8609925694,5633.49566516182,35432.8254426164,5244.17918514356
141,36174.321744567,5466.77952869593,35429.9469858039,5245.42860069234
142,36413.2523200615,5447.60412128123,35427.4649069233,5246.84520181432
143,36808.8858149238,5130.65564071856,35425.355893394,5247.73080682898
144,37231.9942938444,5609.83349215556,35422.5760025309,5249.38579175918
145,37501.0078439033,5321.63454551531,35420.4624794086,5250.80700109983
146,37041.430486008,5544.49346948856,35418.1446788551,5251.89213143087
147,37055.2022865391,5256.58661412711,35415.84987127,5252.89648470249
148,35811.6632082779,5477.88355268776,35413.0636251145,5253.46538012974
149,35925.1773435469,5355.53607565309,35409.8988376475,5253.68152818085
150,35719.9876215529,5232.50022090449,35406.7603421061,5253.96761795444
151,35443.8024034991,5297.55232053754,35403.5271417301,5254.14221719358
152,35759.1109955882,5283.36292412979,35400.1768057069,5254.1657488486
153,35859.3073051273,5145.15457744409,35396.8074487172,5254.13772049578
154,36001.9523096017,5391.6091929229,35393.4405985635,5254.1617523592
155,36227.0984794811,5356.48092604107,35390.1914697909,5254.0976373306
156,35645.9423468077,5093.81955527226,35387.1283824689,5254.09920634564
157,35675.9123340858,5107.00110760826,35384.2768414506,5254.09677257147
158,35307.2123767858,5263.67605967666,35381.3057509578,5253.87291119545
